Ano,Descricao,Total,Quantidade
set/15,Suco_de_laranja,46969269,29615510
set/15,Soja,1429975247,3705390780
set/15,Cafe,457773314,175268861
out/15,Suco_de_laranja,68575672,44168676
out/15,Soja,989567116,2594061477
out/15,Cafe,502724908,198614077
nov/15,Suco_de_laranja,70410633,46032200
nov/15,Soja,551133264,1442940426
nov/15,Cafe,461776768,187048495
dez/15,Suco_de_laranja,58083689,37754631
dez/15,Soja,281720842,731439903
dez/15,Cafe,450696173,178736390
jan/16,Suco_de_laranja,64436881,41348048
jan/16,Soja,147635092,394431597
jan/16,Cafe,363995453,149220611
fev/16,Suco_de_laranja,128916071,83021428
fev/16,Soja,715347987,2036818373
fev/16,Cafe,397886180,160235194
mar/16,Suco_de_laranja,57796601,37360454
mar/16,Soja,2924902326,8374549242
mar/16,Cafe,406546782,166628182
abr/16,Suco_de_laranja,84514067,54624215
abr/16,Soja,3532371105,10085881032
abr/16,Cafe,326513518,134095360
mai/16,Suco_de_laranja,30826614,19678366
mai/16,Soja,3600309132,9915098848
mai/16,Cafe,315103876,130159187
jun/16,Suco_de_laranja,65329598,44112225
jun/16,Soja,2971369089,7761036427
jun/16,Cafe,304468687,124082720
jul/16,Suco_de_laranja,65948196,43044726
jul/16,Soja,2424555157,5787202701
jul/16,Cafe,272278700,104392354
ago/16,Suco_de_laranja,48075656,29089213
ago/16,Soja,1590492888,3816070571
ago/16,Cafe,423186841,157659136
set/16,Suco_de_laranja,77377889,45531307
set/16,Soja,606519905,1443401661
set/16,Cafe,459622339,165489648
out/16,Suco_de_laranja,54216164,29438157
out/16,Soja,413785766,998191535
out/16,Cafe,513528677,178658786
nov/16,Suco_de_laranja,88512406,50125441
nov/16,Soja,130913191,316094305
nov/16,Cafe,536859379,180161201
dez/16,Suco_de_laranja,95154359,47546770
dez/16,Soja,273121796,653098393
dez/16,Cafe,535637211,175175880
